         18501500 function calls (16703748 primitive calls) in 629.123 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.002    0.001 _base.py:3161(set_xlim)
        4    0.000    0.000    0.000    0.000 _base.py:3289(get_xscale)
        1    0.000    0.000    0.000    0.000 _base.py:3450(yaxis_inverted)
        1    0.000    0.000    0.000    0.000 _base.py:3464(get_ybound)
        1    0.000    0.000    0.000    0.000 _base.py:3480(set_ybound)
        5    0.000    0.000    0.000    0.000 _base.py:3520(get_ylim)
        3    0.000    0.000    0.001    0.000 _base.py:3543(set_ylim)
        4    0.000    0.000    0.000    0.000 _base.py:3672(get_yscale)
        1    0.000    0.000    0.000    0.000 _base.py:3917(set_navigate)
        1    0.000    0.000    0.000    0.000 _base.py:3933(set_navigate_mode)
        1    0.000    0.000    0.046    0.046 _base.py:421(__init__)
        1    0.000    0.000    0.000    0.000 _base.py:4250(get_children)
        1    0.000    0.000    0.006    0.006 _base.py:594(_init_axis)
        1    0.000    0.000    0.001    0.001 _base.py:604(set_figure)
        1    0.000    0.000    0.001    0.001 _base.py:624(_set_lim_and_transforms)
    29/15    0.000    0.000    0.000    0.000 _base.py:660(get_xaxis_transform)
        3    0.000    0.000    0.000    0.000 _base.py:684(get_xaxis_text1_transform)
        3    0.000    0.000    0.000    0.000 _base.py:710(get_xaxis_text2_transform)
    29/15    0.000    0.000    0.000    0.000 _base.py:736(get_yaxis_transform)
        3    0.000    0.000    0.000    0.000 _base.py:760(get_yaxis_text1_transform)
        3    0.000    0.000    0.000    0.000 _base.py:786(get_yaxis_text2_transform)
        2    0.000    0.000    0.000    0.000 _base.py:812(_update_transScale)
        1    0.000    0.000    0.000    0.000 _base.py:898(set_axes_locator)
        4    0.000    0.000    0.000    0.000 _base.py:915(_set_artist_props)
        1    0.000    0.000    0.000    0.000 _base.py:925(_gen_axes_patch)
        1    0.000    0.000    0.005    0.005 _base.py:942(_gen_axes_spines)
        5    0.000    0.000    0.005    0.001 _base.py:957(<genexpr>)
        1    0.000    0.000    0.031    0.031 _base.py:960(cla)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:271(__subclasshook__)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:302(__subclasshook__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:349(__subclasshook__)
        5    0.000    0.000    0.000    0.000 _collections_abc.py:367(__subclasshook__)
       19    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
       11    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
        2    0.000    0.000    0.000    0.000 _methods.py:28(_amax)
        2    0.000    0.000    0.000    0.000 _methods.py:32(_amin)
       11    0.000    0.000    0.000    0.000 _methods.py:47(_all)
        3    0.000    0.000    0.000    0.000 _pylab_helpers.py:100(get_active)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:110(set_active)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:116(<listcomp>)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:30(get_fig_manager)
        1    0.000    0.000    0.000    0.000 _subplots.py:110(get_subplotspec)
        1    0.000    0.000    0.001    0.001 _subplots.py:122(update_params)
        1    0.000    0.000    0.047    0.047 _subplots.py:18(__init__)
        1    0.000    0.000    0.000    0.000 _subplots.py:202(subplot_class_factory)
        2    0.000    0.000    0.000    0.000 _subplots.py:217(<genexpr>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:139(geterr)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:39(seterr)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:437(__init__)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:441(__enter__)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:446(__exit__)
       52    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       52    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       52    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       24    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       52    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       92    0.000    0.000    0.001    0.000 _weakrefset.py:58(__iter__)
      203    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
       53    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
       72    0.000    0.000    0.003    0.000 abc.py:180(__instancecheck__)
    55/11    0.001    0.000    0.002    0.000 abc.py:196(__subclasscheck__)
       18    0.000    0.000    0.000    0.000 artist.py:1005(set_zorder)
       10    0.000    0.000    0.000    0.000 artist.py:1020(sticky_edges)
       71    0.001    0.000    0.008    0.000 artist.py:1064(set)
        2    0.000    0.000    0.000    0.000 artist.py:1070(<lambda>)
        4    0.000    0.000    0.000    0.000 artist.py:1171(mouseover)
       42    0.000    0.000    0.001    0.000 artist.py:170(convert_xunits)
       42    0.000    0.000    0.000    0.000 artist.py:182(convert_yunits)
      544    0.000    0.000    0.000    0.000 artist.py:194(axes)
       71    0.000    0.000    0.000    0.000 artist.py:199(axes)
